Company,Website,Office,City,Industry,Est_Employees,Hires_Freshers,Internships,AI_ML_Relevant,Career_Page,LinkedIn_Company,HR_Name,HR_Designation,HR_LinkedIn,HR_Email,HR_Phone,Last_Hiring_Evidence,Priority
Accenture,accenture.com,"Sector 29, Chandigarh + Industrial Area Phase II, Mohali",Both,IT services/consulting,Not found,Yes,Yes (campus),No,https://www.accenture.com/in-en/careers,https://in.linkedin.com/company/accentureindia,,,,,,~1000+ India listings covering Mohali/Chandigarh (Indeed 2026),Low
AlmaBay (PlaceCom),almabay.com,Zirakpur/Chandigarh,Chandigarh,EdTech - AI campus placements,35 (YourStory),Yes,Not found,Yes,Not found,https://in.linkedin.com/company/almabay,Vishal Sood,Founder & CEO,https://www.linkedin.com/in/vishal-sood-3b41b720/,Not publicly available,Not publicly available,AI Engineer hired Feb 2025 (Tracxn),High
Antier Solutions,antiersolutions.com,"Mohali, Punjab (HQ)",Mohali,Blockchain/Web3/DeFi/AI consulting,~742 (Internshala),Yes,Yes,Yes,https://www.antiersolutions.com/career/,https://in.linkedin.com/company/antiersolutions,Kalpana Choudhary,Senior HR Specialist,https://www.linkedin.com/in/kalpana-choudhary-39062a98/,kalpana@antiersolutions.com (application email),Not publicly available,LinkedIn hiring post 2024-25,High
Antier Solutions,antiersolutions.com,"Mohali, Punjab (HQ)",Mohali,Blockchain/Web3/DeFi/AI consulting,~742 (Internshala),Yes,Yes,Yes,https://www.antiersolutions.com/career/,https://in.linkedin.com/company/antiersolutions,Alisha Bathla,TA Lead,https://www.linkedin.com/in/alisha-bathla-065265155/,Not publicly available,Not publicly available,LinkedIn hiring post 2024-25,High
Apptunix,apptunix.com,"Mohali & Chandigarh (HQ Texas, US)",Both,App/AI-powered software dev agency,250+ (self-reported),Yes,Not confirmed,Yes (Python Engineer AI/ML role),https://www.apptunix.com/career/,https://www.linkedin.com/company/apptunixus,,,,,,Python Engineer for AI/ML role live 2026,Medium
Bebo Technologies,bebotechnologies.com,"Plot D3, Rajiv Gandhi Chandigarh Technology Park, Kishangarh",Chandigarh,"QA/testing, Agentic AI, DevOps",Not found (~200-500 est.),Claimed,Not confirmed,Yes (Agentic AI/ML Architect roles),https://www.bebotechnologies.com/careers,https://in.linkedin.com/company/bebo-technologies-pvt-ltd,,,,,,Senior Technical Recruiter role posted (active 2026),Medium
Bharti Airtel,airtel.in,"Industrial Area Phase 2, Sector 58, Mohali",Mohali,Telecom,Not found,Not found,Not found,No,Not found,https://www.linkedin.com/company/bhartiairtel,,,,,,Listings via Quikr,Low
The Brihaspati Infotech,brihaspatitech.com,"Plot F-169, Sector 74, Phase 8B, Mohali",Mohali,Web/Mobile/AI solutions,150+,Yes,Yes,Yes,https://www.brihaspatitech.com/careers/,https://in.linkedin.com/company/the-brihaspati-infotech,Neha Katoch,IT Recruiter,https://www.linkedin.com/in/neha-katoch-942633221/,Not publicly available,Not publicly available,Python Fresher role active May 2026,High
Cerebrum Infotech,cerebruminfotech.com,"Sector 71, Mohali / Industrial Area Phase 8, Chandigarh",Both,"Mobile/web app dev, DevOps, IoT",Not found (small),Not found,Not found,No,Not found,https://in.linkedin.com/company/cerebruminfotech,,,,,,Not found,Low
Cintra Software & Services,cintra.com,"DLF IT Park, Rajiv Gandhi Chandigarh Technology Park",Chandigarh,Multi-cloud/database consulting,11-50 (Glassdoor),Not confirmed,Not confirmed,No,https://careers.cintra.com/,https://www.linkedin.com/company/cintra-software-and-services,Khayati Dipta,HR Manager (India),https://www.linkedin.com/in/khayati-dipta-345594104,Not publicly available,Not publicly available,"Senior DBA, M365 Specialist roles live 2026",Low
